,0,1
1515,0.75,
1516,0.72,
1517,0.73,
1518,0.72,
1519,0.79,
1520,0.84,
1521,0.68,
1522,0.69,
1523,0.81,
1524,0.75,
1525,0.75,
1526,0.8,
1527,0.81,
1528,0.75,
1529,0.78,
1530,0.79,
1531,0.87,
1532,0.78,
1533,0.74,
1534,0.75,
1535,0.71,
1536,0.75,
1537,0.76,
1538,0.77,
1539,0.76,
1540,0.8,
1541,0.69,
1542,0.83,
1543,0.75,
1544,0.69,
1545,0.77,
1546,0.83,
1547,0.71,
1548,0.73,
1549,0.75,
1550,0.73,
1551,0.76,
1552,0.75,
1553,0.78,
1554,0.82,
1555,0.78,
1556,0.74,
1557,0.77,
1558,0.86,
1559,0.67,
1560,0.81,
1561,0.71,
1562,0.73,
1563,0.73,
1564,0.72,
1565,0.73,
1566,0.76,
1567,0.72,
1568,0.82,
1569,0.73,
1570,0.82,
1571,0.8,
1572,0.78,
1573,0.74,
1574,0.72,
1575,0.79,
1576,0.73,
1577,0.74,
1578,0.72,
1579,0.77,
1580,0.84,
1581,0.79,
1582,0.71,
1583,0.76,
1584,0.77,
1585,0.83,
1586,0.82,
1587,0.82,
1588,0.8,
1589,0.78,
1590,0.71,
1591,0.68,
1592,0.87,
1593,0.8,
1594,0.79,
1595,0.78,
1596,0.8,
1597,0.8,
1598,0.8,
1599,0.7,
1600,0.8,
1601,0.81,
1602,0.83,
1603,0.75,
1604,0.71,
1605,0.73,
1606,0.71,
1607,0.73,
1608,0.72,
1609,0.74,
1610,0.75,
1611,0.72,
1612,0.74,
1613,0.75,
1614,0.78,
1615,0.81,
1616,0.78,
1617,0.75,
1618,0.83,
1619,0.86,
1620,0.77,
1621,0.82,
1622,0.8,
1623,0.72,
1624,0.81,
1625,0.79,
1626,0.76,
1627,0.77,
1628,0.8,
1629,0.79,
1630,0.76,
1631,0.78,
1632,0.77,
1633,0.77,
1634,0.69,
1635,0.77,
1636,0.78,
1637,0.79,
1638,0.73,
1639,0.69,
1640,0.79,
1641,0.73,
1642,0.81,
1643,0.77,
1644,0.78,
1645,0.82,
1646,0.72,
1647,0.77,
1648,0.83,
1649,0.76,
1650,0.82,
1651,0.74,
1652,0.79,
1653,0.72,
1654,0.77,
1655,0.75,
1656,0.71,
1657,0.83,
1658,0.77,
1659,0.8,
1660,0.73,
1661,0.79,
1662,0.85,
1663,0.8,
1664,0.81,
1665,0.82,
1666,0.81,
1667,0.81,
1668,0.74,
1669,0.79,
1670,0.79,
1671,0.79,
1672,0.8,
1673,0.86,
1674,0.81,
1675,0.78,
1676,0.75,
1677,0.72,
1678,0.74,
1679,0.8,
1680,0.8,
1681,0.75,
1682,0.81,
1683,0.8,
1684,0.83,
1685,0.73,
1686,0.82,
1687,0.81,
1688,0.85,
1689,0.82,
1690,0.76,
1691,0.82,
1692,0.81,
1693,0.75,
1694,0.8,
1695,0.66,
1696,0.69,
1697,0.72,
1698,0.8,
1699,0.81,
1700,0.85,
1701,0.8,
1702,0.74,
1703,0.79,
1704,0.72,
1705,0.71,
1706,0.8,
1707,0.72,
1708,0.81,
1709,0.78,
1710,0.81,
1711,0.79,
1712,0.76,
1713,0.81,
1714,0.81,
1715,0.77,
1716,0.75,
1717,0.73,
1718,0.82,
1719,0.71,
1720,0.78,
1721,0.8,
1722,0.85,
1723,0.81,
1724,0.79,
1725,0.82,
1726,0.79,
1727,0.8,
1728,0.84,
1729,0.75,
1730,0.73,
1731,0.7,
1732,0.68,
1733,0.76,
1734,0.76,
1735,0.84,
1736,0.81,
1737,0.74,
1738,0.69,
1739,0.74,
1740,0.77,
1741,0.78,
1742,0.86,
1743,0.77,
1744,0.69,
1745,0.79,
1746,0.77,
1747,0.78,
1748,0.8,
1749,0.72,
1750,0.76,
1751,0.8,
1752,0.86,
1753,0.74,
1754,0.78,
1755,0.76,
1756,0.79,
1757,0.8,
1758,0.82,
